cartodb_id,the_geom,city,state,shape_1,duration,summary,posted,month,country,date_time,cartodb_georef_status
3364,0101000020E6100000382D78D1571255C0C347C49448D24340,Miamisburg,OH,Disk,2 minutes,My b.f. and I were stargazing on our back porch after I told him I saw a very vivid and long falling star trail.,2015-08-06,August,USA,2015-08-01,true
3880,0101000020E6100000B35E0CE5440156C018B2BAD573424640,Green Bay,WI,Oval,15 minutes,"Bright orange-yellow light flying fast in one dir., hovered for a few mins, then sped off into the distance and disappeared.",2015-07-06,July,USA,2015-07-04,true
3542,0101000020E6100000B35E0CE5440156C018B2BAD573424640,Green Bay,WI,Circle,1.5 hours,"Green Bay, Bay Shore County P;ark ufo orb basically.",2015-08-06,July,USA,2015-07-20,true
3484,0101000020E6100000B35E0CE5440156C018B2BAD573424640,Green Bay,WI,Light,30 seconds per orb,"12 or so orange orbs appearing and fading away, all going the same speed, in the same direction.",2015-07-31,July,USA,2015-07-24,true
3913,0101000020E610000010406A13279557C0DAE1AFC91A214340,Butler,MO,Circle,20 seconds,Reddish-orange sphere seen by two witnesses,2015-07-23,July,USA,2015-07-04,true
3797,0101000020E61000004B598638D67154C090DAC4C9FD563A40,Bonita Springs,FL,Oval,2 minutes,"This craft was silent, had no lights, but glowed, & I have never seen anything like it!",2015-07-06,July,USA,2015-07-04,true
2990,0101000020E6100000AA605452270654C0C286A757CAA23A40,Palm Springs,FL,Triangle,10 minutes,Triangular shaped aircraft flying in an irregular pattern.,2015-08-27,August,USA,2015-08-20,true
3499,0101000020E6100000D0ED258DD1C453C00664AF777FF44140,Carrboro,NC,Triangle,5 minutes,"Three lights as bright as the moon, possible triangle.",2015-07-31,July,USA,2015-07-23,true
3056,0101000020E6100000F71E2E39EE0E53C079E9263108BC4340,Belcamp,MD,Light,3 minutes,"Orange sphere seen by 2 people in Belcamp, MD.",2015-08-27,August,USA,2015-08-15,true
3415,0101000020E610000037E0F3C308D151C0DFE00B93A9D64440,Bristol,RI,Sphere,30 seconds,Three purple/red objects with strobe traveling SE to ENE.,2015-07-31,July,USA,2015-07-29,true
3498,0101000020E61000006F8104C58F795EC0F05014E8137D4240,Aptos,CA,Sphere,~2 minutes,"Two bright orange spheres headed w/sw were sighted in Aptos, California at 11:15 on July 23, 2015.",2015-07-31,July,USA,2015-07-23,true
3356,0101000020E610000005C078060DBB52C027C286A757164440,Langhorne,PA,Light,2-4 minutes,Cluster of 50 orange lights in night sky over Langhorne.,2015-08-06,August,USA,2015-08-01,true
3187,0101000020E6100000D99942E7356057C0E9B7AF03E7744640,Minnetonka,MN,Circle,5 minutes,I am writing for my daughter as she is still very shaken up about what she observed. She had just left my house in Richfield.,2015-08-27,August,USA,2015-08-09,true
3174,0101000020E6100000D99942E7356057C0E9B7AF03E7744640,Minnetonka,MN,,,Minnetonka light cause. ((NUFORC Note: We tend to agree with this person's assessment of the photos. PD)),2015-08-27,August,USA,2015-08-09,true
3173,0101000020E6100000D99942E7356057C0E9B7AF03E7744640,Minnetonka,MN,Oval,10 minutes,"Huge oval with balls of light on sides, did not move; got photos.",2015-08-13,August,USA,2015-08-09,true
